                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.72945,                 2.2832,                0.83822,                0.69312,                0.53644,                0.58057,                0.52147,                0.46184,                0.93576,                0.81967,               0.070021,               0.003331,               0.003331
                      1,                0.56107,                0.86519,                0.80439,                 0.9091,                0.87284,                0.90419,                  0.837,                0.40277,                0.50728,                 0.8152,               0.037822,              0.0044651,              0.0044651
                      2,                0.45558,                0.59992,                0.79354,                0.98202,                0.90439,                0.95381,                0.90502,                0.33541,                0.39985,                 0.8072,              0.0034226,              0.0033992,              0.0033992
