                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.75752,                 2.1504,                0.84184,                0.86464,                0.79272,                0.86695,                 0.7681,                 0.5347,                 1.6173,                0.79808,               0.070052,              0.0033276,              0.0033276
                      1,                 0.5945,                0.74432,                 0.8107,                0.97356,                 0.9046,                 0.9704,                  0.869,                 0.4822,                 1.2379,                 0.7982,               0.037854,              0.0044628,              0.0044628
                      2,                0.49572,                0.56502,                0.80049,                0.98713,                0.95535,                0.97963,                0.90981,                 0.3856,                 1.0612,                0.78971,              0.0034555,               0.003398,               0.003398
